rank,run_id,run_name,run_group_id,feature_version,hyperparameter_set,model_uri,train_rows,test_rows,train_rmse,train_mae,train_r2,test_rmse,test_mae,test_r2,training_seconds,prediction_seconds,test_train_rmse_gap,train_test_r2_gap
1,be9a561c04f84b1a8fe0eaa982ffa168,v2_hp1,20260721T195957Z-30801287,v2,hp1,models:/m-868b7f5286c44bc0809a52bda973da2f,65365,16342,158.8469629816465,121.91948725812318,0.6784121243601213,165.11657252245828,126.90149541124914,0.6484157109779285,0.32195545800277614,0.0990879999990284,6.269609540811786,0.029996413382192832
2,b7e29a6dbf71446c9e4454e4a6f29883,v1_hp1,20260721T195957Z-30801287,v1,hp1,models:/m-174f5489e07b4f408a7dfd8514642196,65365,16342,163.18397882278052,125.7664344380511,0.6606116963262403,168.2862053133124,129.76192429001998,0.6347878939180809,0.24699204200078384,0.09845958400183008,5.102226490531876,0.025823802408159402
3,3e92d42f39d045c195682abca40c2da3,v2_hp2,20260721T195957Z-30801287,v2,hp2,models:/m-bd234723c4d94acba5fe19a2a770f98a,65365,16342,127.45613469432783,96.67137783760644,0.7929556791890847,169.29313297550928,130.22877230910572,0.6304043813169984,4.298331333000533,0.434865750001336,41.83699828118145,0.16255129787208633
4,c02e8423887c4db9957220cc2b4c0a37,v1_hp2,20260721T195957Z-30801287,v1,hp2,models:/m-f8beb14e9466485c91573f7f5a7e53d2,65365,16342,126.88245816629922,96.40396465709952,0.7948152862233417,170.78241026113514,131.36673067780686,0.6238730893846287,2.5912588749997667,0.3935278329990979,43.899952094835925,0.17094219683871303
